Rohit Sharma | Man of the match: It was an important game, a decider," and we wanted to just enjoy ourselves. To keep that Australian batting line-up to less than 290 was impressive. Once KL got out, we knew we needed to stitch together a big partnership, and no better person than the captain himself to do that. It was important to get that partnership from the team's perspective. We had that talk in the middle - one of the two of us needs to continue, and we couldn't lose the momentum, especially after the 100-run stand. I was middling and seeing it well, so I said I wanted to play my shots, and take the risks. It came off today, but if we had lost wickets, things would be different. Australia always comes up with good bowling attacks. Their top three quick bowlers challenge you, they've got variety and skills. In the first two games I was trying something different and it didn't come off. Today I just wanted to be there till the end, around the 35th over, and I was trying to push the run-rate forward because I was seeing it really well, but it didn't come off because I miscued one."
Sam Curran to de Kock, no run," on the shorter side and though there is no width on offer, de Kock goes for cut and chops it towards backward point, searches for his first run but is sent back by Faf"
Sam Curran to de Kock, no run, shortens the length and allows de Kock to get right behind the line to defend
Sam Curran to de Kock, no run," 134kph good length delivery around off, de Kock's bat comes down at an angle and he ekes out an inside edge onto the pad"
Sam Curran to de Kock, no run," back of a length around off, de Kock taps it on the head and directs it to point"
Sam Curran to van der Dussen, no run," angled across the right hander, blocked back down the wicket"
Sam Curran [5.0-2-8-1] is back into the attack, no run," angled across the right hander, blocked back down the wicket"
Jofra Archer to du Plessis, no run," bouncer to end the over, du Plessis bends his back and allows it to sail over"
Jofra Archer to du Plessis, no run," 145kph full delivery that has du Plessis reaching for it with laden feet, defended to cover"
Jofra Archer to du Plessis, no run, back of a length well outside off and du Plessis lets it pass
Jofra Archer to du Plessis, no run, slanting into the right hander and du Plessis stabs it into the on-side
Jofra Archer to du Plessis, no run," on a length and outside off, du Plessis watches it go past him"
Jofra Archer to du Plessis, no run," England were confident in their appeal. Buttler and the cordon went up in unison along with Archer. Umpire Chris Gaffaney obliged but the South African skipper was quick to challenge it. A sucker delivery outside off and du Plessis went chasing after it, lucky for him he did not close enough to make contact else he would have been walking back to the pavilion. A very poor shot though"
South Africa review: Faf is given out caught behind. He immediately reviews. It was umpire Chris Gaffaney and he did take time to raise his finger. Fair delivery. There is daylight between bat and ball in the first replay. UltraEdge picks up a murmur but it is after the ball passes the bat. Will be interesting to see what the third umpire decides. It is Not Out!, no run," England were confident in their appeal. Buttler and the cordon went up in unison along with Archer. Umpire Chris Gaffaney obliged but the South African skipper was quick to challenge it. A sucker delivery outside off and du Plessis went chasing after it, lucky for him he did not close enough to make contact else he would have been walking back to the pavilion. A very poor shot though"
Anderson to van der Dussen, no run," good length ball close to off, van der Dussen is on the back foot to keep it out"
Short cover in place, no run," good length ball close to off, van der Dussen is on the back foot to keep it out"
Anderson to van der Dussen, no run," almost a classic Anderson dismissal. Good length ball outside off and van der Dussen goes feeling for it with the bat away from the body, the ball shapes away to beat the outside edge"
Anderson to van der Dussen, no run," short of length outside off, van der Dussen ignores"
Anderson to van der Dussen, no run," fuller and outside off, van der Dussen blocks with a half-cooked stride"
Anderson to van der Dussen, no run," good length ball around off, van der Dussen is solidly behind the line to defend"
Jofra Archer to du Plessis, FOUR," ahh poor follow up delivery. Short and wide outside off, du Plessis reaches out and flays it in front of square past cover, not well timed but there was no one chasing that"
Jofra Archer to du Plessis, no run," wow! That is unplayable. du Plessis could only hope it didn't take the edge. Back of a length on off-stump and du Plessis had to play at it, the ball straightens to whizz past the outside edge. That is more the line and length Archer should operate in"
Jofra Archer to du Plessis, no run," nip-backer that has du Plessis on the hop, does a lot and hits him on the thigh pad"
Jofra Archer to du Plessis, no run," 142kph dug in short but barely rises, but since it was outside off, du Plessis let it go"
Jofra Archer to du Plessis, no run," good length ball around off, du Plessis blocks it down the wicket"
Jofra Archer to du Plessis, no run," fuller and outside off, du Plessis reaches with his hands out and defends back"
Anderson to van der Dussen, no run, nice shape on the away swinger and van der Dussen watchfully defends to cover
Anderson to van der Dussen, no run," probing away just outside off, van der Dussen drops it with soft hands into the off-side"
Anderson to van der Dussen, no run," very full and outside off, van der Dussen stabs it in front of point"
Anderson to van der Dussen, no run," stifled appeal for LBW. Anderson turns around and gestures it was outside off. Almost the perfect set up. Couple of back of a length deliveries followed by a fuller one that nips back in, van der Dussen is caught on the forward press and is struck outside the line of off-stump but he had got an inside edge before that"
Anderson to van der Dussen, no run," back of a length around off, van der Dussen hoists his bat up and lets it pass"
Anderson to van der Dussen, no run," 134kph good length ball close to off, van der Dussen is right behind the line to defend"
Jofra Archer to du Plessis, no run," 143kph short ball on off-stump, du Plessis arches his back and sways out of the line"
Jofra Archer to van der Dussen, leg byes," 1 run, goes back to the leg-stump stuff and van der Dussen deflects it off the thigh pad to the left of Buttler. du Plessis calls him through for a quick run"
Jofra Archer to van der Dussen, no run," 144kph nips back in and van der Dussen jams it off the inside edge onto the boot, the ball rolls to mid-wicket"
Jofra Archer to van der Dussen, no run, much better line from Archer. Keeps it around the off-stump and brings out a solid block from van der Dussen
Jofra Archer to du Plessis, 1 run," 146kph full delivery outside off, du Plessis eases it to mid-off"
Jofra Archer to van der Dussen, 1 run," attacks the stumps and is picked away to the right of mid-wicket, for a quick single"
Anderson to du Plessis, no run," back of a length just outside off, du Plessis lifts his bat and lets it go"
Anderson to du Plessis, no run," now the away going delivery to du Plessis, left alone outside off"
Anderson to van der Dussen, 1 run," and again.. Anderson is getting the ball to hoop around quite a bit, van der Dussen squirts an inside edge backward of square leg and manages to get off strike"
Anderson to van der Dussen, no run, once more shapes in viciously in the air and van der Dussen offers a straight bat in his block
Anderson to van der Dussen, no run," booming inswinger that almost had van der Dussen in a tangle, the front leg was planted across and he got his bat around to turn it to mid-wicket. He was a goner had he missed"
Two slips and gully in place, no run," booming inswinger that almost had van der Dussen in a tangle, the front leg was planted across and he got his bat around to turn it to mid-wicket. He was a goner had he missed"
Anderson to van der Dussen, no run," starts with a wayward delivery down leg, no chance for van der Dussen of playing that"
James Anderson [8.0-2-24-1] is back into the attack, no run," starts with a wayward delivery down leg, no chance for van der Dussen of playing that"
Jofra Archer to du Plessis, no run," ends the over with a bouncer, too high and a comfortable duck for du Plessis"
Jofra Archer to du Plessis, no run," fuller and outside off, du Plessis reaches out and defends to cover"
Jofra Archer to du Plessis, FOUR," and again.. Not a bad delivery. 141kph on off and middle, du Plessis stays beside the line and plays the flick in front of his body, same region and same result. Archer is not happy about something"
Jofra Archer to du Plessis, no run," good length ball on off, du Plessis defends it back to Archer"
Jofra Archer to du Plessis, FOUR," that's a top shot. Fullish delivery on off-stump, du Plessis presses forward and twirls his wrists to place the on-drive to the righ of mid-on, the timing takes care of the rest"
Jofra Archer to du Plessis, 2 runs," gentle loosener that allows du Plessis to get going. On the pads and flicked away square on the leg-side, easy two"
Welcome back.. A very important session for South Africa. The humidity should have eased the surface down and batting should be easier. But the hosts cannot afford to gift their wickets away. The players have taken the field and England have gone for Archer to start proceedings. Couple of slips and a gully in place. Ready to roll.., 2 runs," gentle loosener that allows du Plessis to get going. On the pads and flicked away square on the leg-side, easy two"
